子类英文,子类中文
mod14_product,MODIS热异常和火灾产品
mod15_product,MODIS叶面积指数产品
mod44_product,MODIS植被覆盖转换产品
night_light_product,夜光专题产品
modis_origin,MODIS原始产品
modis_land,MODIS陆地产品
modis_ocean,MODIS海洋产品
modis_atmos,MODIS大气产品
modis_ice,MODIS冰雪产品
night_light_product,夜光专题产品
